"Period";"Rendite_D_1Y"
"1997Q3";3,57282051282051
"1997Q4";3,97704918032787
"1998Q1";3,69365079365079
"1998Q2";3,83084745762712
"1998Q3";3,605
"1998Q4";3,30285714285714
"1999Q1";2,93492063492063
"1999Q2";2,693
"1999Q3";3,06545454545455
"1999Q4";3,60703125
"2000Q1";4,01276923076923
"2000Q2";4,6058064516129
"2000Q3";5,05215384615385
"2000Q4";4,97774193548387
"2001Q1";4,459375
"2001Q2";4,39387096774194
"2001Q3";4,02661538461538
"2001Q4";3,24951612903226
"2002Q1";3,59451612903226
"2002Q2";3,83142857142857
"2002Q3";3,36863636363636
"2002Q4";2,935
"2003Q1";2,45634920634921
"2003Q2";2,17370967741935
"2003Q3";2,17651515151515
"2003Q4";2,31564516129032
"2004Q1";2,0634375
"2004Q2";2,23507936507937
"2004Q3";2,28545454545455
"2004Q4";2,24375
"2005Q1";2,24516129032258
"2005Q2";2,10107692307692
"2005Q3";2,12939393939394
"2005Q4";2,49578125
"2006Q1";2,81892307692308
"2006Q2";3,17693548387097
"2006Q3";3,47923076923077
"2006Q4";3,70063492063492
"2007Q1";3,93953125
"2007Q2";4,23327868852459
"2007Q3";4,23092307692308
"2007Q4";4,04016129032258
"2008Q1";3,64467741935484
"2008Q2";4,1771875
"2008Q3";4,30621212121212
"2008Q4";2,28612903225806
"2009Q1";1,15730158730159
"2009Q2";0,974516129032258
"2009Q3";0,735909090909091
"2009Q4";0,789047619047619
"2010Q1";0,61968253968254
"2010Q2";0,351111111111111
"2010Q3";0,498333333333333
"2010Q4";0,73125
"2011Q1";1,0209375
"2011Q2";1,40460317460317
"2011Q3";0,780606060606061
"2011Q4";0,236875
"2012Q1";0,105692307692308
"2012Q2";0,0412903225806452
"2012Q3";-0,0556923076923077
"2012Q4";-0,0314516129032258
"2013Q1";0,0390322580645161
"2013Q2";0,0157142857142857
"2013Q3";0,0715151515151515
"2013Q4";0,0825806451612903
"2014Q1";0,0988888888888889
"2014Q2";0,0767741935483871
"2014Q3";-0,0286363636363636
"2014Q4";-0,0432786885245902
"2015Q1";-0,182698412698413
"2015Q2";-0,250655737704918
"2015Q3";-0,271969696969697
"2015Q4";-0,343968253968254
"2016Q1";-0,473064516129032
"2016Q2";-0,53453125
"2016Q3";-0,641969696969697
"2016Q4";-0,745079365079365
"2017Q1";-0,812769230769231
"2017Q2";-0,757704918032787
"2017Q3";-0,734923076923077
"2017Q4";-0,783934426229508
"2018Q1";-0,68031746031746
"2018Q2";-0,679354838709677
"2018Q3";-0,661384615384615
"2018Q4";-0,680163934426229
"2019Q1";-0,598863636363636
